sample_id,product_name,manufacturer_name,manufacturer_address,net_quantity,unit_of_measurement,mrp_declaration,mrp_value_rupees,packing_date,consumer_care_phone,consumer_care_email,country_of_origin,unit_sale_price,label_readability,product_category,compliance_status,compliance_score,violations_count,violation_labels
SIH26034-00083,Saffola Active Oil,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",87m,m,Rs. 618.65 (Incl. of all taxes),618.65,05/2025,1800-120-3345,support@india.com,India,Rs. 7.11 per m,POOR,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00084,Vim Dishwash Bar,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",250kg,kg,Rs. 661.52 (Incl. of all taxes),661.52,08/2024,1800-123-4567,care@company.in,Manufactured in India,Rs. 2.65 per kg,POOR,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00085,Glucon-D Nimbu Pani,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",100kg,kg,Rs. 976.62 (Incl. of all taxes),976.62,01/2025,1800-425-6789,grievance@brand.in,Manufactured in India,Rs. 9.77 per kg,POOR,Health & Nutrition,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00086,Britannia Good Day Cookies,,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",250kg,kg,Rs. 1045.33 (Incl. of all taxes),1045.33,11/2023,1800-267-8900,consumer@brand.com,,Rs. 4.18 per kg,GOOD,Dairy Products,NON_COMPLIANT,70,2,LM-PC-002: Missing manufacturer name; LM-PC-008: Missing country of origin
SIH26034-00087,Head & Shoulders Shampoo,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",1000g,g,Rs. 303.33 (Incl. of all taxes),303.33,02/2024,,,India,Rs. 0.3 per g,POOR,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-007: Missing consumer care contact
SIH26034-00088,Britannia Good Day Cookies,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",200g,g,Rs. 68.68 (Incl. of all taxes),68.68,12/2024,1800-425-6789,grievance@brand.in,Made in India,Rs. 0.34 per g,GOOD,Dairy Products,COMPLIANT,100,0,None
SIH26034-00089,Colgate MaxFresh Toothpaste,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",100kg,kg,Rs. 951.59 (Incl. of all taxes),951.59,01/2024,1800-267-8900,consumer@brand.com,India,Rs. 9.52 per kg,POOR,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00090,,Nestle India Ltd,100/101,100l,l,Rs. 340.35 (Incl. of all taxes),340.35,03/2023,1800-120-3345,support@india.com,Made in India,Rs. 3.4 per l,MODERATE,Food & Beverages,NON_COMPLIANT,65,2,LM-PC-001: Missing product name; LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00091,Kissan Mixed Fruit Jam,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",500kg,kg,Rs. 853.53 (Incl. of all taxes),853.53,06/2024,,,India,Rs. 1.71 per kg,POOR,Food & Beverages,NON_COMPLIANT,85,1,LM-PC-007: Missing consumer care contact
SIH26034-00092,Refined Sunflower Oil,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",54N,N,Rs. 269.93 (Incl. of all taxes),269.93,,1800-123-4567,care@company.in,Manufactured in India,Rs. 5.0 per N,GOOD,Food & Beverages,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00093,Bournvita Health Drink,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",85m,m,Rs. 265.06 (Incl. of all taxes),265.06,03/2023,1800-123-4567,care@company.in,India,Rs. 3.12 per m,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00094,Colgate MaxFresh Toothpaste,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",200g,g,Rs. 815.13 (Incl. of all taxes),815.13,02/2024,1800-123-4567,care@company.in,Made in India,Rs. 4.08 per g,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00095,Amul Pure Milk,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",2ml,ml,Rs. 731.72 (Incl. of all taxes),731.72,12/2023,1800-267-8900,consumer@brand.com,India,Rs. 365.86 per ml,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00096,Tang Orange Drink Mix,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",500ml,ml,Rs. 960.43 (Incl. of all taxes),960.43,10/2023,1800-425-6789,grievance@brand.in,India,Rs. 1.92 per ml,POOR,Personal Care,COMPLIANT,100,0,None
SIH26034-00097,Dettol Original Soap,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",100l,l,Rs. 1181.57 (Incl. of all taxes),1181.57,,1800-123-4567,care@company.in,India,Rs. 11.82 per l,GOOD,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00098,Head & Shoulders Shampoo,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",100l,l,Rs. 556.31 (Incl. of all taxes),556.31,07/2024,1800-267-8900,consumer@brand.com,Made in India,Rs. 5.56 per l,MODERATE,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00099,Bournvita Health Drink,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",1000gms,gms,Rs. 1002.93 (Incl. of all taxes),1002.93,02/2024,1800-425-6789,grievance@brand.in,Manufactured in India,Rs. 1.0 per g,GOOD,Personal Care,NON_COMPLIANT,80,1,LM-PC-004: Non-standard unit 'gms'
SIH26034-00100,Tang Orange Drink Mix,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",500g,g,Rs. 426.44 (Incl. of all taxes),426.44,11/2024,1800-123-4567,care@company.in,Made in India,Rs. 0.85 per g,GOOD,Dairy Products,COMPLIANT,100,0,None
SIH26034-00101,Nescafe Classic Coffee,Nestle India Ltd,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",750ml,ml,Rs. 571.24 (Incl. of all taxes),571.24,12/2023,1800-123-4567,care@company.in,Made in India,Rs. 0.76 per ml,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00102,Tang Orange Drink Mix,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",5g,g,Rs. 294.65 (Incl. of all taxes),294.65,01/2024,1800-123-4567,care@company.in,India,Rs. 58.93 per g,POOR,Health & Nutrition,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00103,Dettol Original Soap,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",750l,l,Rs. 42.46 (Incl. of all taxes),42.46,06/2024,1800-425-6789,grievance@brand.in,India,Rs. 0.06 per l,MODERATE,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00104,Horlicks Original,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",15N,N,Rs. 1181.32 (Incl. of all taxes),1181.32,01/2024,1800-120-3345,support@india.com,India,Rs. 78.75 per N,POOR,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00105,Head & Shoulders Shampoo,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",2ml,ml,Rs. 486.82 (Incl. of all taxes),486.82,01/2025,1800-123-4567,care@company.in,India,Rs. 243.41 per ml,MODERATE,Personal Care,COMPLIANT,100,0,None
SIH26034-00106,Tang Orange Drink Mix,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",750l,l,Rs. 1067.39,1067.39,12/2023,1800-267-8900,consumer@brand.com,India,Rs. 1.42 per l,MODERATE,Dairy Products,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00107,Surf Excel Easy Wash,,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",100ml,ml,Rs. 68.61 (Incl. of all taxes),68.61,08/2024,,,,Rs. 0.69 per ml,POOR,Household Cleaning,NON_COMPLIANT,55,3,LM-PC-002: Missing manufacturer name; LM-PC-007: Missing consumer care contact; LM-PC-008: Missing country of origin
SIH26034-00108,Britannia Good Day Cookies,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",14m,m,Rs. 336.87 (Incl. of all taxes),336.87,09/2024,1800-120-3345,support@india.com,Made in India,,POOR,Dairy Products,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00109,Maggi 2-Minute Noodles,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",1000kg,kg,Rs. 450.89 (Incl. of all taxes),450.89,03/2024,1800-120-3345,support@india.com,,Rs. 0.45 per kg,MODERATE,Personal Care,NON_COMPLIANT,85,1,LM-PC-008: Missing country of origin
SIH26034-00110,,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",750l,l,Rs. 356.54 (Incl. of all taxes),356.54,04/2025,1800-425-6789,grievance@brand.in,Manufactured in India,Rs. 0.48 per l,POOR,Household Cleaning,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00111,Head & Shoulders Shampoo,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",13N,N,Rs. 1198.17 (Incl. of all taxes),1198.17,03/2023,1800-123-4567,care@company.in,India,Rs. 92.17 per N,POOR,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00112,Vim Dishwash Bar,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",200g,g,Rs. 125.27 (Incl. of all taxes),125.27,02/2024,1800-425-6789,grievance@brand.in,India,Rs. 0.63 per g,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00113,Refined Sunflower Oil,,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",78m,m,Rs. 755.01 (Incl. of all taxes),755.01,12/2023,1800-267-8900,consumer@brand.com,India,Rs. 9.68 per m,POOR,Personal Care,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00114,MDH Garam Masala,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",750ml,ml,Rs. 157.18 (Incl. of all taxes),157.18,,1800-120-3345,support@india.com,India,Rs. 0.21 per ml,MODERATE,Personal Care,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00115,Kwality Wall's Ice Cream,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",100lts,lts,Rs. 1028.71 (Incl. of all taxes),1028.71,12/2024,1800-425-6789,grievance@brand.in,India,Rs. 10.29 per kg,GOOD,Personal Care,NON_COMPLIANT,80,1,LM-PC-004: Non-standard unit 'lts'
SIH26034-00116,Fortune Chana Dal,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",100ml,ml,Rs. 801.11 (Incl. of all taxes),801.11,01/2025,1800-120-3345,support@india.com,Made in India,Rs. 8.01 per ml,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00117,,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",1ml,ml,Rs. 155.58 (Incl. of all taxes),155.58,02/2024,1800-267-8900,consumer@brand.com,Manufactured in India,Rs. 155.58 per ml,POOR,Dairy Products,NON_COMPLIANT,70,2,LM-PC-001: Missing product name; LM-PC-010: Poor label readability
SIH26034-00118,Amul Pure Milk,Nestle India Ltd,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",44N,N,Rs. 806.8 (Incl. of all taxes),806.8,01/2023,1800-425-6789,grievance@brand.in,Made in India,Rs. 18.34 per N,MODERATE,Personal Care,COMPLIANT,100,0,None
SIH26034-00119,Hajmola Digestive Tablets,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",2Liters,Liters,Rs. 809.53 (Incl. of all taxes),809.53,12/2024,1800-425-6789,grievance@brand.in,India,Rs. 404.76 per ml,POOR,Personal Care,NON_COMPLIANT,80,1,LM-PC-004: Non-standard unit 'Liters'
SIH26034-00120,Amul Butter,Nestle India Ltd,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",32N,N,Rs. 333.05 (Incl. of all taxes),333.05,04/2025,1800-425-6789,grievance@brand.in,Manufactured in India,Rs. 10.41 per N,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00121,Saffola Active Oil,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",5g,g,Rs. 570.67 (Incl. of all taxes),570.67,11/2023,,,India,Rs. 114.13 per g,GOOD,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-007: Missing consumer care contact
SIH26034-00122,Maggi 2-Minute Noodles,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",500g,g,Rs. 968.98 (Incl. of all taxes),968.98,10/2023,1800-123-4567,care@company.in,India,Rs. 1.94 per g,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00123,,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",750ml,ml,Rs. 930.62 (Incl. of all taxes),930.62,12/2023,1800-267-8900,consumer@brand.com,India,Rs. 1.24 per ml,POOR,Dairy Products,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00124,Kwality Wall's Ice Cream,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",100kg,kg,Rs. 366.6 (Incl. of all taxes),366.6,08/2024,1800-425-6789,grievance@brand.in,India,Rs. 3.67 per kg,POOR,Dairy Products,COMPLIANT,100,0,None
SIH26034-00125,Saffola Active Oil,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",200lts,lts,Rs. 242.83,242.83,10/2023,1800-120-3345,support@india.com,,Rs. 1.21 per l,POOR,Household Cleaning,NON_COMPLIANT,45,3,LM-PC-005: MRP missing 'inclusive of all taxes' phrase; LM-PC-004: Non-standard unit 'lts'; LM-PC-008: Missing country of origin
SIH26034-00126,Head & Shoulders Shampoo,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",61m,m,Rs. 665.84 (Incl. of all taxes),665.84,02/2025,1800-120-3345,support@india.com,India,Rs. 10.92 per m,POOR,Dairy Products,COMPLIANT,100,0,None
SIH26034-00127,Kwality Wall's Ice Cream,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",100g,g,Rs. 1028.55 (Incl. of all taxes),1028.55,01/2024,1800-267-8900,consumer@brand.com,India,Rs. 10.29 per g,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00128,Whole Wheat Atta,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",1l,l,Rs. 597.72 (Incl. of all taxes),597.72,10/2024,1800-123-4567,care@company.in,India,Rs. 597.72 per l,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00129,Mother Dairy Dahi,,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",250GMS,GMS,Rs. 325.21 (Incl. of all taxes),325.21,12/2024,1800-425-6789,grievance@brand.in,,Rs. 1.3 per g,MODERATE,Health & Nutrition,NON_COMPLIANT,50,3,LM-PC-008: Missing country of origin; LM-PC-004: Non-standard unit 'GMS'; LM-PC-002: Missing manufacturer name
SIH26034-00130,MDH Garam Masala,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",1ml,ml,Rs. 1053.53 (Incl. of all taxes),1053.53,05/2023,1800-123-4567,care@company.in,,Rs. 1053.53 per ml,POOR,Dairy Products,NON_COMPLIANT,85,1,LM-PC-008: Missing country of origin
SIH26034-00131,Saffola Active Oil,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",52N,N,Rs. 1029.53 (Incl. of all taxes),1029.53,04/2025,1800-267-8900,consumer@brand.com,India,Rs. 19.8 per N,MODERATE,Dairy Products,COMPLIANT,100,0,None
SIH26034-00132,Bournvita Health Drink,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",750l,l,Rs. 629.97 (Incl. of all taxes),629.97,10/2023,1800-123-4567,care@company.in,India,Rs. 0.84 per l,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00133,Bournvita Health Drink,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",500l,l,Rs. 39.72 (Incl. of all taxes),39.72,,1800-120-3345,support@india.com,India,Rs. 0.08 per l,POOR,Health & Nutrition,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00134,Bournvita Health Drink,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",500ml,ml,Rs. 498.89 (Incl. of all taxes),498.89,11/2024,1800-123-4567,care@company.in,India,Rs. 1.0 per ml,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00135,Whole Wheat Atta,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",250g,g,Rs. 388.98 (Incl. of all taxes),388.98,06/2024,1800-123-4567,care@company.in,India,Rs. 1.56 per g,POOR,Personal Care,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00136,Tata Salt (Iodized),Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",100ml,ml,Rs. 1080.29 (Incl. of all taxes),1080.29,01/2024,1800-123-4567,care@company.in,India,Rs. 10.8 per ml,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00137,Nescafe Classic Coffee,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",63m,m,Rs. 775.41 (Incl. of all taxes),775.41,04/2024,1800-120-3345,support@india.com,India,Rs. 12.31 per m,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00138,Tata Salt (Iodized),Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",500ml,ml,Rs. 1016.77,1016.77,04/2023,1800-267-8900,consumer@brand.com,India,Rs. 2.03 per ml,GOOD,Health & Nutrition,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00139,Surf Excel Easy Wash,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",500g,g,Rs. 71.58 (Incl. of all taxes),71.58,10/2024,1800-267-8900,consumer@brand.com,India,,POOR,Household Cleaning,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00140,Head & Shoulders Shampoo,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",85N,N,Rs. 369.76 (Incl. of all taxes),369.76,04/2023,1800-123-4567,care@company.in,Manufactured in India,Rs. 4.35 per N,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00141,Surf Excel Easy Wash,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",200l,l,Rs. 538.96 (Incl. of all taxes),538.96,06/2024,1800-120-3345,support@india.com,India,Rs. 2.69 per l,MODERATE,Dairy Products,COMPLIANT,100,0,None
SIH26034-00142,Tang Orange Drink Mix,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",2l,l,Rs. 1196.76 (Incl. of all taxes),1196.76,05/2025,1800-267-8900,consumer@brand.com,Manufactured in India,Rs. 598.38 per l,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00143,Kwality Wall's Ice Cream,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",5kg,kg,Rs. 116.45 (Incl. of all taxes),116.45,02/2024,1800-123-4567,care@company.in,Made in India,Rs. 23.29 per kg,MODERATE,Dairy Products,COMPLIANT,100,0,None
SIH26034-00144,Saffola Active Oil,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",22N,N,Rs. 865.43 (Incl. of all taxes),865.43,12/2024,1800-120-3345,support@india.com,India,Rs. 39.34 per N,POOR,Household Cleaning,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00145,Nescafe Classic Coffee,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",40m,m,Rs. 1126.53 (Incl. of all taxes),1126.53,07/2024,1800-267-8900,consumer@brand.com,,Rs. 28.16 per m,MODERATE,Health & Nutrition,NON_COMPLIANT,85,1,LM-PC-008: Missing country of origin
SIH26034-00146,Fortune Chana Dal,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",250g,g,Rs. 432.47 (Incl. of all taxes),432.47,04/2025,1800-120-3345,support@india.com,India,Rs. 1.73 per g,POOR,Food & Beverages,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00147,Amul Butter,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",79Kgs,Kgs,Rs. 277.54 (Incl. of all taxes),277.54,02/2023,1800-123-4567,care@company.in,India,Rs. 3.51 per N,POOR,Dairy Products,NON_COMPLIANT,80,1,LM-PC-004: Non-standard unit 'Kgs'
SIH26034-00148,Fortune Chana Dal,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",100kg,kg,Rs. 893.38 (Incl. of all taxes),893.38,09/2023,1800-123-4567,care@company.in,Made in India,Rs. 8.93 per kg,POOR,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00149,MDH Garam Masala,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",1000g,g,Rs. 898.78 (Incl. of all taxes),898.78,03/2023,1800-425-6789,grievance@brand.in,India,,GOOD,Food & Beverages,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00150,Amul Pure Milk,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",75N,N,Rs. 522.69 (Incl. of all taxes),522.69,02/2024,1800-120-3345,support@india.com,Manufactured in India,Rs. 6.97 per N,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00151,Dettol Original Soap,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",5kg,kg,Rs. 785.42 (Incl. of all taxes),785.42,02/2023,1800-123-4567,care@company.in,India,Rs. 157.08 per kg,GOOD,Dairy Products,COMPLIANT,100,0,None
SIH26034-00152,Ariel Matic Detergent,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",22N,N,Rs. 973.72 (Incl. of all taxes),973.72,01/2025,1800-267-8900,consumer@brand.com,,Rs. 44.26 per N,MODERATE,Personal Care,NON_COMPLIANT,85,1,LM-PC-008: Missing country of origin
SIH26034-00153,Refined Sunflower Oil,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",250g,g,Rs. 897.34,897.34,04/2025,1800-123-4567,care@company.in,India,Rs. 3.59 per g,GOOD,Food & Beverages,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00154,Kissan Mixed Fruit Jam,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",80N,N,Rs. 801.67 (Incl. of all taxes),801.67,12/2023,1800-123-4567,care@company.in,India,Rs. 10.02 per N,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00155,Whole Wheat Atta,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",5kg,kg,Rs. 964.68 (Incl. of all taxes),964.68,06/2024,1800-123-4567,care@company.in,India,Rs. 192.94 per kg,POOR,Personal Care,COMPLIANT,100,0,None
SIH26034-00156,Britannia Good Day Cookies,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",2l,l,Rs. 483.82 (Incl. of all taxes),483.82,04/2024,1800-267-8900,consumer@brand.com,Manufactured in India,Rs. 241.91 per l,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00157,Tata Salt (Iodized),Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",75m,m,Rs. 258.4 (Incl. of all taxes),258.4,05/2024,1800-425-6789,grievance@brand.in,India,Rs. 3.45 per m,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00158,Hajmola Digestive Tablets,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",67m,m,Rs. 604.57 (Incl. of all taxes),604.57,10/2023,1800-267-8900,consumer@brand.com,India,Rs. 9.02 per m,POOR,Household Cleaning,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00159,MDH Garam Masala,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",56N,N,Rs. 189.61 (Incl. of all taxes),189.61,04/2023,1800-120-3345,support@india.com,India,,GOOD,Personal Care,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00160,Fortified Cow Ghee,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",250kg,kg,Rs. 890.25 (Incl. of all taxes),890.25,01/2025,1800-267-8900,consumer@brand.com,India,Rs. 3.56 per kg,POOR,Dairy Products,COMPLIANT,100,0,None
SIH26034-00161,Ariel Matic Detergent,,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",1000kg,kg,Rs. 610.22 (Incl. of all taxes),610.22,12/2023,1800-425-6789,grievance@brand.in,India,Rs. 0.61 per kg,GOOD,Personal Care,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00162,Tang Orange Drink Mix,Hindustan Unilever Ltd,Unilever House,100g,g,Rs. 328.38 (Incl. of all taxes),328.38,04/2024,1800-123-4567,care@company.in,India,Rs. 3.28 per g,GOOD,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00163,Premium Basmati Rice,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",5kg,kg,Rs. 23.52 (Incl. of all taxes),23.52,10/2024,1800-267-8900,consumer@brand.com,Made in India,Rs. 4.7 per kg,GOOD,Dairy Products,COMPLIANT,100,0,None
