sample_id,batch_number,barcode,product_name,product_category,manufacturer_name,manufacturer_address,net_quantity,unit_of_measurement,mrp_declaration,mrp_value_inr,unit_sale_price,packing_date,consumer_care_phone,consumer_care_email,country_of_origin,label_readability,compliance_status,compliance_score,risk_tier,violation_count,violated_rules,violation_descriptions
LM-GEN-00074,BN9422,8908816253492,Multivitamin Tablets,Health,MP Agro Industries,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",60N,N,MRP Rs. 650 (Incl. of all taxes),650,Rs. 18.5714 per g,06/2024,1800-103-1234,support@company.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00075,BN3848,8909653644462,Coriander Powder,Staples,Pushpak Packaging Pvt. Ltd.,"Industrial Area Phase 1, Chandigarh - 160002",50g,g,MRP Rs. 499 (Incl. of all taxes),499,,01/2022,1800-890-0011,help@business.co.in,India,MODERATE,NON_COMPLIANT,92,LOW,1,LM-PC-009,Unit Sale Price (USP) not declared
LM-GEN-00076,BN6776,8907189309708,Rock Salt,Staples,Prime Industries Ltd.,"Survey 45/A, Vatva GIDC, Ahmedabad, Gujarat - 382445",1000g,g,MRP Rs. 999 (Incl. of all taxes),999,Rs. 0.999 per g,05/2024,1800-103-1234,support@company.in,China,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00077,BN1513,8905477247402,Instant Noodles,Snacks & Bakery,TechPack Solutions,"EPIP Zone, Whitefield, Bengaluru, Karnataka - 560066",70g,g,MRP Rs. 299,299,Rs. 4.2714 per g,,1800-103-1234,support@company.in,India,POOR,NON_COMPLIANT,60,MEDIUM,2,LM-PC-005; LM-PC-006,MRP missing mandatory phrase 'inclusive of all taxes' | Month and year of manufacture / packing not declared
LM-GEN-00078,BN4709,8906559797970,Rock Salt,Staples,Royal Produce Pvt. Ltd.,"NH-44 Bypass Road, Hyderabad, Telangana - 500072",250g,g,MRP Rs. 399 (Incl. of all taxes),399,Rs. 1.596 per g,04/2023,1800-103-1234,support@company.in,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00079,BN6373,8903971987276,Extra Virgin Olive Oil,Edible Oil,TechPack Solutions,"EPIP Zone, Whitefield, Bengaluru, Karnataka - 560066",125ml,ml,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.076 per ml,01/2022,1800-890-0011,help@business.co.in,India,POOR,COMPLIANT,100,NONE,0,None,None
LM-GEN-00080,BN2635,8905819032780,,Snacks & Bakery,,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",140g,g,MRP Rs. 650 (Incl. of all taxes),650,Rs. 4.6429 per g,,,,India,GOOD,NON_COMPLIANT,30,CRITICAL,4,LM-PC-001; LM-PC-002; LM-PC-006; LM-PC-007,Missing product/commodity name on label | Manufacturer/packer name not declared | Month and year of manufacture / packing not declared | Consumer care helpline and email not provided
LM-GEN-00081,BN5760,8909085564418,Cow Ghee,Dairy,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",1000g,g,MRP Rs. 450 (Incl. of all taxes),450,Rs. 0.45 per g,04/2024,1800-123-7890,info@pack.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00082,BN4363,8905551923804,,Dairy,,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",100g,g,MRP Rs. 550 (Incl. of all taxes),550,Rs. 5.5 per g,,,,India,GOOD,NON_COMPLIANT,30,CRITICAL,4,LM-PC-001; LM-PC-002; LM-PC-006; LM-PC-007,Missing product/commodity name on label | Manufacturer/packer name not declared | Month and year of manufacture / packing not declared | Consumer care helpline and email not provided
LM-GEN-00083,BN8766,8901001071330,Coriander Powder,Spices,Prime Industries Ltd.,"Survey 45/A, Vatva GIDC, Ahmedabad, Gujarat - 382445",100g,g,MRP Rs. 450 (Incl. of all taxes),450,Rs. 4.5 per g,05/2024,1800-890-0011,help@business.co.in,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00084,BN4869,8904484356951,Notebook,Stationery,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",0.5N,N,MRP Rs. 450,450,Rs. 900.0 per N,03/2024,1800-103-1234,support@company.in,India,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-005,MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00085,BN6425,8902283470907,Pen (Ball Point),Stationery,TechPack Solutions,"EPIP Zone, Whitefield, Bengaluru, Karnataka - 560066",5kilos,kilos,MRP Rs. 499 (Incl. of all taxes),499,,09/2023,1800-123-7890,info@pack.in,Bangladesh,GOOD,NON_COMPLIANT,67,MEDIUM,2,LM-PC-004; LM-PC-009,Non-standard unit 'kilos' used (must be SI: g/kg/ml/l/N/m) | Unit Sale Price (USP) not declared
LM-GEN-00086,BN7149,8904792067261,Red Chilli Powder,Spices,,Park Circus,100g,g,MRP Rs. 120 (Incl. of all taxes),120,Rs. 1.2 per g,09/2023,,,Bangladesh,POOR,NON_COMPLIANT,55,HIGH,3,LM-PC-002; LM-PC-003; LM-PC-007,Manufacturer/packer name not declared | Incomplete address — PIN code / State missing | Consumer care helpline and email not provided
LM-GEN-00087,BN5146,8909736192455,Digestive Tablets,Pulses,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",15N,N,MRP Rs. 399,399,Rs. 26.6 per N,03/2023,011-23456789,contact@firm.co.in,Germany,MODERATE,NON_COMPLIANT,75,MEDIUM,1,LM-PC-005,MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00088,BN3801,8902080449597,Sugar,Staples,Disha Exports & Imports,"No. 34, Anna Salai, Chennai, Tamil Nadu - 600002",2kg,kg,MRP Rs. 75 (Incl. of all taxes),75,Rs. 37.5 per kg,11/2023,1800-890-0011,help@business.co.in,,POOR,NON_COMPLIANT,85,LOW,1,LM-PC-008,Country of Origin declaration missing
LM-GEN-00089,BN4973,8902718152512,Namkeen Mix,Pulses,,"NH-44 Bypass Road, Hyderabad, Telangana - 500072",500g,g,MRP Rs. 299 (Incl. of all taxes),299,Rs. 0.598 per g,12/2023,1800-890-0011,help@business.co.in,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-002,Manufacturer/packer name not declared
LM-GEN-00090,BN8043,8909738417459,Paneer,Dairy,Bengal Foods International,Park Circus,200g,g,MRP Rs. 150 (Incl. of all taxes),150,Rs. 0.75 per g,06/2022,,,Manufactured in India,GOOD,NON_COMPLIANT,70,MEDIUM,2,LM-PC-003; LM-PC-007,Incomplete address — PIN code / State missing | Consumer care helpline and email not provided
LM-GEN-00091,BN1415,8907996064575,Fruit Juice (Tetra Pack),Beverages,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",400kilos,kilos,MRP Rs. 150 (Incl. of all taxes),150,,,1800-200-5678,care@brand.com,India,GOOD,NON_COMPLIANT,52,HIGH,3,LM-PC-004; LM-PC-006; LM-PC-009,Non-standard unit 'kilos' used (must be SI: g/kg/ml/l/N/m) | Month and year of manufacture / packing not declared | Unit Sale Price (USP) not declared
LM-GEN-00092,BN6057,8906360770924,Shampoo,Personal Care,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",200ml,ml,MRP Rs. 75 (Incl. of all taxes),75,Rs. 0.375 per ml,01/2024,1800-890-0011,help@business.co.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00093,BN6658,8903146579354,Shaving Cream,Personal Care,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",140g,g,MRP Rs. 200 (Incl. of all taxes),200,Rs. 1.4286 per g,03/2022,1800-572-3344,grievance@goods.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00094,BN7826,8904237174788,Liquid Detergent,Household,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",250GMS,GMS,MRP Rs. 650 (Incl. of all taxes),650,Rs. 2.6 per ml,08/2023,1800-103-1234,support@company.in,India,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-004,Non-standard unit 'GMS' used (must be SI: g/kg/ml/l/N/m)
LM-GEN-00095,BN4272,8901491857257,Hair Conditioner,Personal Care,Prime Industries Ltd.,"Survey 45/A, Vatva GIDC, Ahmedabad, Gujarat - 382445",175ml,ml,MRP Rs. 99 (Incl. of all taxes),99,Rs. 0.5657 per ml,05/2023,1800-123-7890,info@pack.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00096,BN1048,8908273992599,Tea Bags,Beverages,Kerala Naturals Pvt. Ltd.,"SY 22/3, Edapally, Kochi, Kerala - 682024",50Gms,Gms,MRP Rs. 1499,1499,Rs. 29.98 per g,12/2022,1800-123-7890,info@pack.in,India,GOOD,NON_COMPLIANT,50,HIGH,2,LM-PC-004; LM-PC-005,Non-standard unit 'Gms' used (must be SI: g/kg/ml/l/N/m) | MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00097,BN8690,8909582277738,Refined Sunflower Oil,Edible Oil,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",1l,l,MRP Rs. 299 (Incl. of all taxes),299,Rs. 0.7475 per ml,11/2023,1800-123-7890,info@pack.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00098,BN9000,8909088541620,Eraser,Stationery,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",10N,N,MRP Rs. 350 (Incl. of all taxes),350,Rs. 3.8889 per ml,09/2022,1800-419-8900,consumer@product.in,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00099,BN1035,8908944592844,Plain Biscuits,Snacks & Bakery,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",100g,g,MRP Rs. 750 (Incl. of all taxes),750,Rs. 7.5 per g,07/2022,1800-200-5678,care@brand.com,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00100,BN6327,8904501742189,Extra Virgin Olive Oil,Edible Oil,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",125Kgs,Kgs,MRP Rs. 75 (Incl. of all taxes),75,,,1800-419-8900,consumer@product.in,China,GOOD,NON_COMPLIANT,52,HIGH,3,LM-PC-004; LM-PC-006; LM-PC-009,Non-standard unit 'Kgs' used (must be SI: g/kg/ml/l/N/m) | Month and year of manufacture / packing not declared | Unit Sale Price (USP) not declared
LM-GEN-00101,BN7684,8905411725007,Honey,Condiments,Prime Industries Ltd.,"Survey 45/A, Vatva GIDC, Ahmedabad, Gujarat - 382445",250g,g,MRP Rs. 650 (Incl. of all taxes),650,Rs. 3.25 per g,12/2022,1800-200-5678,care@brand.com,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00102,BN7082,8902553374349,Cumin Seeds,Spices,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",100g,g,MRP Rs. 20 (Incl. of all taxes),20,Rs. 0.2 per g,,1800-103-1234,support@company.in,USA,POOR,NON_COMPLIANT,77,MEDIUM,2,LM-PC-006; LM-PC-010,Month and year of manufacture / packing not declared | Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00103,BN2860,8903381699869,Basmati Rice,Staples,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",1kg,kg,MRP Rs. 15 (Incl. of all taxes),15,,12/2022,,,China,POOR,NON_COMPLIANT,77,MEDIUM,2,LM-PC-007; LM-PC-009,Consumer care helpline and email not provided | Unit Sale Price (USP) not declared
LM-GEN-00104,BN1746,8904314832141,Eraser,Stationery,Shree Ganesh Processors,"Near Water Tank, Sikar Road, Jaipur, Rajasthan - 302023",10N,N,MRP Rs. 250 (Incl. of all taxes),250,Rs. 25.0 per N,10/2023,1800-419-8900,consumer@product.in,Manufactured in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00105,BN9935,8905747444967,Face Wash,Pulses,Odisha Produce Ltd.,"Chandaka Industrial Estate, Bhubaneswar, Odisha - 751024",200ml,ml,MRP Rs. 650 (Incl. of all taxes),650,Rs. 3.25 per ml,02/2023,1800-419-8900,consumer@product.in,India,POOR,NON_COMPLIANT,92,LOW,1,LM-PC-010,Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00106,BN1527,8905071184362,Sunscreen Lotion,Personal Care,Star FMCG Corporation,"Sector 63, NOIDA, Uttar Pradesh - 201301",100ml,ml,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.3 per ml,10/2022,1800-890-0011,help@business.co.in,Made in India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00107,BN6786,8906739892941,,Beverages,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",100kilos,kilos,MRP Rs. 120 (Incl. of all taxes),120,Rs. 1.2 per ml,12/2023,1800-572-3344,grievance@goods.in,Made in India,GOOD,NON_COMPLIANT,50,HIGH,2,LM-PC-004; LM-PC-001,Non-standard unit 'kilos' used (must be SI: g/kg/ml/l/N/m) | Missing product/commodity name on label
LM-GEN-00108,BN7739,8902842151104,Floor Cleaner,Household,Odisha Produce Ltd.,"Chandaka Industrial Estate, Bhubaneswar, Odisha - 751024",1l,l,MRP Rs. 350 (Incl. of all taxes),350,,12/2022,1800-123-7890,info@pack.in,,GOOD,NON_COMPLIANT,77,MEDIUM,2,LM-PC-008; LM-PC-009,Country of Origin declaration missing | Unit Sale Price (USP) not declared
LM-GEN-00109,BN5988,8901593900928,Ayurvedic Churan,Health,Pushpak Packaging Pvt. Ltd.,"Industrial Area Phase 1, Chandigarh - 160002",100g,g,MRP Rs. 180 (Incl. of all taxes),180,Rs. 1.8 per g,01/2023,1800-572-3344,grievance@goods.in,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00110,BN1604,8902706191690,Pesticide Spray,Agriculture,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",500ml,ml,MRP Rs. 99 (Incl. of all taxes),99,Rs. 0.198 per ml,05/2022,1800-103-1234,support@company.in,Bharat,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00111,BN1703,8905249461838,Sunscreen Lotion,Personal Care,Bengal Foods International,"Park Circus, Kolkata, West Bengal - 700017",100ml,ml,MRP Rs. 99 (Incl. of all taxes),99,,03/2024,1800-103-1234,support@company.in,,MODERATE,NON_COMPLIANT,77,MEDIUM,2,LM-PC-008; LM-PC-009,Country of Origin declaration missing | Unit Sale Price (USP) not declared
LM-GEN-00112,BN2165,8908807079611,Protein Supplement,Health,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",500g,g,MRP Rs. 120 (Incl. of all taxes),120,Rs. 0.24 per g,06/2023,1800-103-1234,support@company.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00113,BN1494,8907610311492,,Personal Care,National Packaged Goods Ltd.,"B-12, Okhla Industrial Phase II, New Delhi - 110020",100ml,ml,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.3 per ml,09/2022,1800-572-3344,grievance@goods.in,Bharat,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-001,Missing product/commodity name on label
LM-GEN-00114,BN1179,8902282619670,Refined Sunflower Oil,Spices,Apex Consumer Products,"No. 7, 3rd Cross, Peenya Industrial Area, Bengaluru, Karnataka - 560058",2l,l,MRP Rs. 450 (Incl. of all taxes),450,,04/2023,1800-572-3344,grievance@goods.in,China,MODERATE,NON_COMPLIANT,92,LOW,1,LM-PC-009,Unit Sale Price (USP) not declared
LM-GEN-00115,BN6876,8907808876829,Talcum Powder,Personal Care,Bengal Foods International,"Park Circus, Kolkata, West Bengal - 700017",200g,g,MRP Rs. 75 (Incl. of all taxes),75,Rs. 0.3 per g,04/2024,1800-890-0011,help@business.co.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00116,BN4056,8903976330831,,Personal Care,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",35g,g,MRP Rs. 299 (Incl. of all taxes),299,Rs. 8.5429 per g,06/2022,1800-572-3344,grievance@goods.in,Bangladesh,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-001,Missing product/commodity name on label
LM-GEN-00117,BN3260,8906836837853,,Health,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",200ml,ml,MRP Rs. 180 (Incl. of all taxes),180,Rs. 0.9 per ml,05/2023,1800-890-0011,help@business.co.in,China,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-001,Missing product/commodity name on label
LM-GEN-00118,BN1123,8905775956902,,Spices,Apex Consumer Products,"No. 7, 3rd Cross, Peenya Industrial Area, Bengaluru, Karnataka - 560058",50g,g,MRP Rs. 150,150,Rs. 3.0 per g,11/2022,1800-890-0011,help@business.co.in,,GOOD,NON_COMPLIANT,35,CRITICAL,3,LM-PC-001; LM-PC-005; LM-PC-008,Missing product/commodity name on label | MRP missing mandatory phrase 'inclusive of all taxes' | Country of Origin declaration missing
LM-GEN-00119,BN3525,8909410358050,Air Freshener Spray,Household,Shree Ganesh Processors,"Near Water Tank, Sikar Road, Jaipur, Rajasthan - 302023",200ml,ml,MRP Rs. 750 (Incl. of all taxes),750,,09/2024,,,Bangladesh,POOR,NON_COMPLIANT,77,MEDIUM,2,LM-PC-007; LM-PC-009,Consumer care helpline and email not provided | Unit Sale Price (USP) not declared
LM-GEN-00120,BN1257,8907446805055,Toor Dal,Pulses,Disha Exports & Imports,"No. 34, Anna Salai, Chennai, Tamil Nadu - 600002",1kg,kg,MRP Rs. 150 (Incl. of all taxes),150,Rs. 150.0 per kg,04/2023,1800-572-3344,grievance@goods.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00121,BN2021,8902488590710,Lip Balm,Personal Care,Star FMCG Corporation,"Sector 63, NOIDA, Uttar Pradesh - 201301",8g,g,MRP Rs. 200 (Incl. of all taxes),200,Rs. 25.0 per g,08/2023,1800-200-5678,care@brand.com,Made in India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00122,BN6252,8901146052373,Coriander Powder,Dairy,Bharat Organic Farms,"Village Narsingpur, Tehsil Harda, Madhya Pradesh - 461331",100g,g,MRP Rs. 150 (Incl. of all taxes),150,Rs. 1.5 per g,05/2024,1800-890-0011,help@business.co.in,India,POOR,NON_COMPLIANT,92,LOW,1,LM-PC-010,Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00123,BN9788,8908626728284,Curd (Dahi),Dairy,,Industrial Area Phase 1,800g,g,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.0375 per g,03/2022,1800-890-0011,help@business.co.in,,POOR,NON_COMPLIANT,47,HIGH,4,LM-PC-003; LM-PC-010; LM-PC-002; LM-PC-008,Incomplete address — PIN code / State missing | Label text readability below minimum statutory requirement (Rule 7) | Manufacturer/packer name not declared | Country of Origin declaration missing
LM-GEN-00124,BN7831,8907884653963,Digestive Tablets,Health,Shree Ganesh Processors,"Near Water Tank, Sikar Road, Jaipur, Rajasthan - 302023",60N,N,MRP Rs. 399 (Incl. of all taxes),399,Rs. 6.65 per N,03/2023,1800-123-7890,info@pack.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00125,BN5384,8905801112373,Lip Balm,Personal Care,JR Manufacturing,"K-18, RIICO Industrial Area, Bhiwadi, Rajasthan - 301019",4g,g,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.06 per g,03/2023,011-23456789,contact@firm.co.in,Germany,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00126,BN7279,8906710134684,,Health,MP Agro Industries,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",500g,g,MRP Rs. 75 (Incl. of all taxes),75,Rs. 0.15 per g,08/2022,1800-890-0011,help@business.co.in,Bharat,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-001,Missing product/commodity name on label
LM-GEN-00127,BN6611,8909831076181,Health Drink Mix,Beverages,Royal Produce Pvt. Ltd.,"NH-44 Bypass Road, Hyderabad, Telangana - 500072",500g,g,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.0238 per g,07/2023,1800-123-7890,info@pack.in,Manufactured in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00128,BN4483,8909063235620,Glass Cleaner,Household,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",1000ml,ml,MRP Rs. 499 (Incl. of all taxes),499,Rs. 0.499 per ml,02/2022,,,China,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-007,Consumer care helpline and email not provided
LM-GEN-00129,BN2070,8905189821149,Mustard Oil,Edible Oil,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",1000mls,mls,MRP Rs. 850 (Incl. of all taxes),850,Rs. 0.85 per ml,03/2022,,,,POOR,NON_COMPLIANT,45,HIGH,3,LM-PC-007; LM-PC-004; LM-PC-008,Consumer care helpline and email not provided | Non-standard unit 'mls' used (must be SI: g/kg/ml/l/N/m) | Country of Origin declaration missing
LM-GEN-00130,BN7925,8905130106511,Body Lotion,Personal Care,Royal Produce Pvt. Ltd.,"NH-44 Bypass Road, Hyderabad, Telangana - 500072",400ml,ml,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.075 per ml,07/2022,1800-200-5678,care@brand.com,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00131,BN5131,8905855886548,Toilet Cleaner,Household,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",500ml,ml,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.095 per g,10/2022,1800-103-1234,support@company.in,Manufactured in India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00132,BN7502,8909113820631,Drinking Water,Beverages,Star FMCG Corporation,"Sector 63, NOIDA, Uttar Pradesh - 201301",1l,l,MRP Rs. 450 (Incl. of all taxes),450,Rs. 2.25 per g,12/2023,1800-572-3344,grievance@goods.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00133,BN9103,8903917567039,Liquid Detergent,Household,Star FMCG Corporation,"Sector 63, NOIDA, Uttar Pradesh - 201301",500ml,ml,MRP Rs. 399 (Incl. of all taxes),399,Rs. 0.798 per ml,10/2022,011-23456789,contact@firm.co.in,Germany,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00134,BN9551,8908946110584,Drinking Water,Beverages,TechPack Solutions,"EPIP Zone, Whitefield, Bengaluru, Karnataka - 560066",1l,l,MRP Rs. 180 (Incl. of all taxes),180,Rs. 180.0 per l,,1800-572-3344,grievance@goods.in,India,POOR,NON_COMPLIANT,77,MEDIUM,2,LM-PC-006; LM-PC-010,Month and year of manufacture / packing not declared | Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00135,BN6739,8907030952492,Coriander Powder,Spices,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",100g,g,MRP Rs. 450 (Incl. of all taxes),450,Rs. 2.25 per g,08/2023,1800-419-8900,consumer@product.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00136,BN4222,8902614934286,Plain Biscuits,Snacks & Bakery,Kerala Naturals Pvt. Ltd.,"SY 22/3, Edapally, Kochi, Kerala - 682024",200g,g,MRP Rs. 399 (Incl. of all taxes),399,Rs. 26.6 per N,04/2024,1800-890-0011,help@business.co.in,Manufactured in India,POOR,COMPLIANT,100,NONE,0,None,None
LM-GEN-00137,BN3214,8909163553578,Cumin Seeds,Spices,Pushpak Packaging Pvt. Ltd.,"Industrial Area Phase 1, Chandigarh - 160002",200g,g,MRP Rs. 50 (Incl. of all taxes),50,Rs. 0.25 per g,12/2023,1800-123-7890,info@pack.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00138,BN6637,8902024010587,Toothbrush,Personal Care,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",2N,N,MRP Rs. 15 (Incl. of all taxes),15,Rs. 7.5 per N,08/2024,1800-123-7890,info@pack.in,Bharat,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00139,BN4527,8906045818470,Sunscreen Lotion,Condiments,Disha Exports & Imports,"No. 34, Anna Salai, Chennai, Tamil Nadu - 600002",50grm,grm,MRP Rs. 25 (Incl. of all taxes),25,Rs. 0.5 per ml,08/2022,1800-123-7890,info@pack.in,Bangladesh,POOR,NON_COMPLIANT,75,MEDIUM,1,LM-PC-004,Non-standard unit 'grm' used (must be SI: g/kg/ml/l/N/m)
LM-GEN-00140,BN3743,8906965656779,Glucose Powder,Health,TechPack Solutions,"EPIP Zone, Whitefield, Bengaluru, Karnataka - 560066",400g,g,MRP Rs. 15 (Incl. of all taxes),15,Rs. 0.0375 per g,08/2022,1800-419-8900,consumer@product.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00141,BN6836,8903706201084,Turmeric Powder,Spices,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",200g,g,MRP Rs. 750 (Incl. of all taxes),750,Rs. 7.5 per g,03/2022,1800-103-1234,support@company.in,Manufactured in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00142,BN5169,8904307733087,Protein Supplement,Health,Agro Vision Industries,Kumbargaon MIDC,1000g,g,MRP Rs. 15 (Incl. of all taxes),15,Rs. 0.015 per g,10/2023,1800-890-0011,help@business.co.in,,GOOD,NON_COMPLIANT,70,MEDIUM,2,LM-PC-008; LM-PC-003,Country of Origin declaration missing | Incomplete address — PIN code / State missing
LM-GEN-00143,BN2411,8902902524089,Glucose Powder,Health,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",100g,g,MRP Rs. 20,20,Rs. 0.2 per g,,1800-123-7890,info@pack.in,India,GOOD,NON_COMPLIANT,60,MEDIUM,2,LM-PC-005; LM-PC-006,MRP missing mandatory phrase 'inclusive of all taxes' | Month and year of manufacture / packing not declared
LM-GEN-00144,BN4411,8907092310507,Refined Sunflower Oil,Edible Oil,,Sector 63,1l,l,MRP Rs. 550 (Incl. of all taxes),550,Rs. 550.0 per l,04/2023,,,Manufactured in India,GOOD,NON_COMPLIANT,55,HIGH,3,LM-PC-002; LM-PC-003; LM-PC-007,Manufacturer/packer name not declared | Incomplete address — PIN code / State missing | Consumer care helpline and email not provided
LM-GEN-00145,BN8625,8904369840700,Hybrid Tomato Seeds,Edible Oil,,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",20g,g,MRP Rs. 15 (Incl. of all taxes),15,Rs. 0.75 per g,06/2023,1800-890-0011,help@business.co.in,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-002,Manufacturer/packer name not declared
LM-GEN-00146,BN3484,8903917798865,Carbonated Soft Drink,Beverages,MP Agro Industries,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",250ml,ml,MRP Rs. 50 (Incl. of all taxes),50,Rs. 0.2 per ml,05/2023,1800-890-0011,help@business.co.in,Bangladesh,GOOD,COMPLIANT,100,NONE,0,None,None
